canonical_ensemble_id,display_name,affiliation,display_order,owner_note
ayala_hs,Ayala HS,scholastic,1,Consistent national participant and historically prominent Southern California scholastic program.
chino_hills_hs,Chino Hills HS,scholastic,2,Consistent national participant and historically prominent Southern California scholastic program.
arcadia_hs,Arcadia HS,scholastic,3,Consistent national participant with multiple tracked scholastic lines.
pulse_percussion,Pulse Percussion,independent,4,Nationally prominent Southern California independent program.
rcc,RCC,independent,5,Nationally prominent Southern California independent program.
broken_city,Broken City,independent,6,Nationally prominent Southern California independent program.
